62.96,106,room3
62.96,106,room3
62.73,105,room3
62.73,105,room3
63.19,101,room3
63.19,101,room3
62.71,105,room3
63.4,98,room3
63.4,98,room3
63.4,98,room3
46.8,98,room3
63.14,98,room3
63.14,98,room3
63.09,97,room3
63.09,97,room3
63.05,101,room3
63.05,101,room3
63.05,101,room3
63.0,105,room3
63.04,101,room3
63.8,103,room3
63.8,103,room3
63.8,103,room3
42.79,101,room3
63.37,102,room3
62.67,100,room3
63.61,102,room3
67.23,55,room3
66.51,56,room3
63.0,101,room3
46.6,101,room3
63.34,101,room3
274.87,104,room3
62.6,96,room3
62.6,96,room3
62.53,93,room3
62.48,89,room3
62.55,89,room3
62.59,92,room3
62.64,95,room3
62.69,99,room3
62.74,103,room3
62.73,103,room3
62.73,103,room3
62.68,102,room3
64.8,77,room3
64.15,91,room3
64.15,91,room3
62.46,103,room3
