51,62,62,54,47,24,20,89,room4
51,62,62,54,47,24,20,89,room4
50,61,61,53,48,24,20,89,room4
50,60,61,52,49,25,21,90,room4
49,60,61,52,50,26,21,91,room4
47,57,63,54,53,28,23,93,room4
46,56,64,55,56,29,25,95,room4
45,55,62,54,58,31,26,96,room4
45,54,61,53,58,31,26,96,room4
44,54,61,52,59,31,26,97,room4
43,53,59,51,61,32,27,98,room4
43,52,57,49,60,33,28,99,room4
42,51,56,48,59,34,29,100,room4
42,20,54,46,56,34,29,99,room4
43,17,51,44,54,33,28,35,room4
44,16,50,43,53,32,27,34,room4
45,17,49,42,52,30,25,32,room4
46,18,49,42,51,29,24,31,room4
48,20,47,40,49,27,23,29,room4
49,59,45,39,48,26,22,28,room4
50,60,45,39,48,26,21,27,room4
53,64,47,40,44,22,18,24,room4
54,66,48,41,40,20,16,21,room4
56,68,49,42,37,18,15,20,room4
58,70,48,41,33,16,13,17,room4
61,74,47,40,27,12,10,14,room4
63,76,49,42,23,10,7,11,room4
64,77,51,44,22,9,7,10,room4
65,78,51,44,20,8,6,9,room4
68,81,53,45,15,5,3,6,room4
68,82,56,49,15,5,3,6,room4
67,42,61,52,16,5,3,6,room4
68,44,62,54,14,4,2,5,room4
69,44,62,54,13,4,2,5,room4
66,41,64,56,18,7,5,8,room4
68,45,67,59,15,5,3,6,room4
69,47,69,60,13,3,2,4,room4
68,51,72,63,14,4,2,69,room4
68,82,74,65,15,5,3,69,room4
69,83,76,66,13,4,2,68,room4
68,81,76,66,15,5,3,69,room4
65,79,76,66,19,7,5,72,room4
62,75,73,63,25,11,8,76,room4
60,73,72,62,29,13,10,78,room4
60,73,72,62,29,13,11,78,room4
57,69,74,64,34,17,13,82,room4
56,68,74,64,36,18,14,83,room4
55,67,69,60,38,19,15,84,room4
54,66,68,59,40,20,16,85,room4
53,64,68,59,43,22,18,87,room4
51,62,69,60,45,23,19,89,room4
50,61,69,60,47,25,20,90,room4
50,61,71,61,48,25,21,90,room4
50,61,72,63,47,24,20,90,room4
48,58,72,63,52,27,22,92,room4
46,56,68,59,56,29,25,95,room4
47,57,66,57,54,28,24,94,room4
47,57,66,57,53,28,24,94,room4
50,31,62,61,37,24,23,77,room4
50,32,63,62,36,24,23,76,room4
51,35,65,64,36,23,78,74,room4
50,37,65,65,37,24,79,73,room4
50,71,66,65,37,24,80,72,room4
49,70,67,67,38,25,80,70,room4
49,70,68,68,38,25,80,68,room4
50,37,65,64,37,24,79,73,room4
49,30,61,61,38,25,24,77,room4
51,30,60,60,35,23,23,80,room4
52,29,57,57,34,22,22,83,room4
52,28,56,56,34,22,21,85,room4
54,76,54,53,32,20,20,88,room4
55,76,53,52,30,19,19,90,room4
56,74,51,51,29,18,18,92,room4
59,74,51,50,25,15,15,92,room4
61,75,51,51,22,13,13,92,room4
62,71,49,49,20,12,12,20,room4
64,72,49,49,18,10,10,17,room4
65,72,50,49,16,9,8,15,room4
68,77,53,52,12,6,5,11,room4
69,81,56,50,11,5,5,10,room4
69,84,58,48,10,5,4,82,room4
69,87,60,47,10,4,4,79,room4
70,88,61,48,9,4,4,80,room4
69,93,64,51,10,4,4,78,room4
69,94,64,54,11,5,4,77,room4
68,76,74,59,21,6,3,5,room4
68,78,75,61,17,4,2,3,room4
28,76,79,64,20,6,3,64,room4
27,77,79,64,19,5,2,64,room4
28,75,79,64,23,7,4,66,room4
47,71,78,63,31,11,7,69,room4
63,71,75,60,32,12,8,70,room4
117,70,84,68,32,12,8,70,room4
113,66,86,70,40,16,12,74,room4
15,64,83,67,45,19,14,76,room4
31,65,79,64,44,19,14,76,room4
57,68,77,62,37,15,10,73,room4
62,70,75,60,33,13,9,71,room4
64,72,73,59,29,11,7,9,room4
66,74,69,55,26,9,5,7,room4
66,43,68,55,24,8,4,6,room4
65,39,64,52,26,9,6,8,room4
61,38,64,52,37,14,10,13,room4
58,65,67,54,42,17,12,15,room4
53,60,63,51,53,23,17,21,room4
52,59,64,51,56,25,19,22,room4
52,58,66,53,57,25,19,23,room4
49,55,63,51,58,29,22,26,room4
49,55,67,54,60,29,22,26,room4
47,53,67,54,61,31,24,87,room4
46,52,66,53,60,32,25,89,room4
45,51,64,51,58,33,26,90,room4
49,56,63,50,57,28,21,25,room4
51,58,63,51,57,26,19,23,room4
52,59,62,49,55,24,18,22,room4
54,31,61,49,51,22,17,20,room4
57,32,61,49,45,19,14,17,room4
58,33,62,50,43,18,13,16,room4
59,34,62,50,41,17,12,15,room4
60,35,62,50,38,16,11,14,room4
61,35,63,50,36,14,10,12,room4
